algorithm,country,target,MAE,RMSE,MAPE,n_estimators,learning_rate,num_leaves
LightGBM,CAN,exports_total,0.167911,0.173601,0.6963,332,0.0102,139
LightGBM,CAN,exports_commodities,0.175219,0.196954,0.7794,407,0.0147,71
LightGBM,CAN,exports_manufactured_goods,0.227289,0.236999,0.9695,567,0.0316,131
LightGBM,CAN,exports_high-tech,0.151588,0.161637,0.6616,216,0.0363,47
LightGBM,CAN,imports_total,0.20189,0.209315,0.8301,543,0.0154,69
LightGBM,CAN,imports_commodities,0.276001,0.283171,1.1717,164,0.0557,73
LightGBM,CAN,imports_manufactured_goods,0.182813,0.195157,0.7809,195,0.0146,106
LightGBM,CAN,imports_high-tech,0.185097,0.209389,0.8289,773,0.0314,67
LightGBM,MEX,exports_total,0.228228,0.242563,0.9492,178,0.0678,97
LightGBM,MEX,exports_commodities,0.28619,0.2971,1.2644,442,0.0788,71
LightGBM,MEX,exports_manufactured_goods,0.188088,0.200263,0.8138,185,0.016,135
LightGBM,MEX,exports_high-tech,0.200761,0.219378,0.8711,234,0.0573,91
LightGBM,MEX,imports_total,0.349782,0.378974,1.4311,284,0.1578,143
LightGBM,MEX,imports_commodities,0.142583,0.160209,0.6372,194,0.072,138
LightGBM,MEX,imports_manufactured_goods,0.408596,0.437008,1.7263,247,0.0124,67
LightGBM,MEX,imports_high-tech,0.349176,0.387856,1.4817,115,0.2767,97
LightGBM,BRA,exports_total,0.100597,0.126284,0.4533,375,0.1532,71
LightGBM,BRA,exports_commodities,0.178378,0.272014,0.8493,291,0.1248,22
LightGBM,BRA,exports_manufactured_goods,0.167017,0.190366,0.7941,590,0.0235,114
LightGBM,BRA,exports_high-tech,0.13754,0.163251,0.6443,230,0.2206,20
LightGBM,BRA,imports_total,0.311425,0.331665,1.4154,150,0.0646,89
LightGBM,BRA,imports_commodities,0.341236,0.360672,1.5987,384,0.0101,81
LightGBM,BRA,imports_manufactured_goods,0.267136,0.288996,1.2783,682,0.1725,137
LightGBM,BRA,imports_high-tech,0.158843,0.182133,0.788,782,0.0593,35
