algorithm,country,target,MAE,RMSE,MAPE
ARIMA,CAN,exports_total,0.151334,0.173647,0.6274
ARIMA,CAN,exports_commodities,0.140322,0.162562,0.6262
ARIMA,CAN,exports_manufactured_goods,0.42606,0.450555,1.8177
ARIMA,CAN,exports_high-tech,0.54066,0.584404,2.3606
ARIMA,CAN,imports_total,0.27518,0.285136,1.1318
ARIMA,CAN,imports_commodities,0.150854,0.167797,0.6407
ARIMA,CAN,imports_manufactured_goods,0.267128,0.283079,1.1416
ARIMA,CAN,imports_high-tech,0.776752,0.870989,3.4792
ARIMA,MEX,exports_total,0.095006,0.124605,0.3952
ARIMA,MEX,exports_commodities,0.196591,0.221567,0.8696
ARIMA,MEX,exports_manufactured_goods,0.112073,0.133528,0.485
ARIMA,MEX,exports_high-tech,0.173772,0.197825,0.7539
ARIMA,MEX,imports_total,0.440085,0.458851,1.8012
ARIMA,MEX,imports_commodities,0.172278,0.212009,0.7695
ARIMA,MEX,imports_manufactured_goods,0.357737,0.375374,1.5117
ARIMA,MEX,imports_high-tech,0.718102,0.783784,3.0479
ARIMA,BRA,exports_total,0.239547,0.260446,1.0838
ARIMA,BRA,exports_commodities,0.599748,0.690423,2.9213
ARIMA,BRA,exports_manufactured_goods,0.308682,0.329055,1.4692
ARIMA,BRA,exports_high-tech,0.123509,0.151003,0.5816
ARIMA,BRA,imports_total,0.714684,0.797018,3.247
ARIMA,BRA,imports_commodities,0.135199,0.170586,0.6334
ARIMA,BRA,imports_manufactured_goods,0.411367,0.460126,1.968
ARIMA,BRA,imports_high-tech,0.116339,0.153379,0.5806
RandomForest,CAN,exports_total,0.183138,0.18878,0.7595
RandomForest,CAN,exports_commodities,0.169005,0.195708,0.7515
RandomForest,CAN,exports_manufactured_goods,0.221397,0.226848,0.9444
RandomForest,CAN,exports_high-tech,0.203551,0.21204,0.8885
RandomForest,CAN,imports_total,0.207424,0.216702,0.8527
RandomForest,CAN,imports_commodities,0.24027,0.260288,1.0189
RandomForest,CAN,imports_manufactured_goods,0.131539,0.142333,0.5618
RandomForest,CAN,imports_high-tech,0.212043,0.233032,0.9496
RandomForest,MEX,exports_total,0.199374,0.212545,0.829
RandomForest,MEX,exports_commodities,0.142119,0.166323,0.6265
RandomForest,MEX,exports_manufactured_goods,0.205223,0.219749,0.8879
RandomForest,MEX,exports_high-tech,0.175703,0.196775,0.7621
RandomForest,MEX,imports_total,0.246469,0.261202,1.0084
RandomForest,MEX,imports_commodities,0.179045,0.196088,0.8004
RandomForest,MEX,imports_manufactured_goods,0.298627,0.315846,1.2616
RandomForest,MEX,imports_high-tech,0.279816,0.301658,1.1875
RandomForest,BRA,exports_total,0.15498,0.190499,0.6977
RandomForest,BRA,exports_commodities,0.228015,0.35599,1.0843
RandomForest,BRA,exports_manufactured_goods,0.174528,0.201279,0.8296
RandomForest,BRA,exports_high-tech,0.146044,0.180701,0.6836
RandomForest,BRA,imports_total,0.312147,0.331444,1.4181
RandomForest,BRA,imports_commodities,0.362758,0.381967,1.6993
RandomForest,BRA,imports_manufactured_goods,0.263168,0.28401,1.2589
RandomForest,BRA,imports_high-tech,0.138196,0.16069,0.6853
LightGBM,CAN,exports_total,0.167911,0.173601,0.6963
LightGBM,CAN,exports_commodities,0.175219,0.196954,0.7794
LightGBM,CAN,exports_manufactured_goods,0.227289,0.236999,0.9695
LightGBM,CAN,exports_high-tech,0.151588,0.161637,0.6616
LightGBM,CAN,imports_total,0.20189,0.209315,0.8301
LightGBM,CAN,imports_commodities,0.276001,0.283171,1.1717
LightGBM,CAN,imports_manufactured_goods,0.182813,0.195157,0.7809
LightGBM,CAN,imports_high-tech,0.185097,0.209389,0.8289
LightGBM,MEX,exports_total,0.228228,0.242563,0.9492
LightGBM,MEX,exports_commodities,0.28619,0.2971,1.2644
LightGBM,MEX,exports_manufactured_goods,0.188088,0.200263,0.8138
LightGBM,MEX,exports_high-tech,0.200761,0.219378,0.8711
LightGBM,MEX,imports_total,0.349782,0.378974,1.4311
LightGBM,MEX,imports_commodities,0.142583,0.160209,0.6372
LightGBM,MEX,imports_manufactured_goods,0.408596,0.437008,1.7263
LightGBM,MEX,imports_high-tech,0.349176,0.387856,1.4817
LightGBM,BRA,exports_total,0.100597,0.126284,0.4533
LightGBM,BRA,exports_commodities,0.178378,0.272014,0.8493
LightGBM,BRA,exports_manufactured_goods,0.167017,0.190366,0.7941
LightGBM,BRA,exports_high-tech,0.13754,0.163251,0.6443
LightGBM,BRA,imports_total,0.311425,0.331665,1.4154
LightGBM,BRA,imports_commodities,0.341236,0.360672,1.5987
LightGBM,BRA,imports_manufactured_goods,0.267136,0.288996,1.2783
LightGBM,BRA,imports_high-tech,0.158843,0.182133,0.788
